question,answer,subject,predicate,object
戴子凡的年龄是多少？,47,戴子凡,年龄,47
刘根元的年龄？,62,刘根元,年龄,62
林州重机集团股份有限公司的分红方式？,不分配,林州重机集团股份有限公司,分红方式,不分配
深圳市振业（集团）股份有限公司的董事是？,蒋灿明,深圳市振业（集团）股份有限公司,董事,蒋灿明
江苏保千里视像科技集团股份有限公司的董事？,李国栋,江苏保千里视像科技集团股份有限公司,董事,李国栋
刘明胜的年龄是？,20,刘明胜,年龄,20
王军的年龄多大？,51,王军,年龄,51
金南强的年龄是多少？,28,金南强,年龄,28
张智武的年龄多大？,41,张智武,年龄,41
王健的年龄是多少？,39,王健,年龄,39
重庆钢铁股份有限公司的监事是？,窦辉,重庆钢铁股份有限公司,监事,窦辉
陆建芬的年龄多大？,30,陆建芬,年龄,30
夏淑萍的年龄是多少？,39,夏淑萍,年龄,39
王培军的年龄多大？,60,王培军,年龄,60
西安华新新能源股份有限公司的监事？,姚鹏辉,西安华新新能源股份有限公司,监事,姚鹏辉
江苏东尚住宅工业有限公司的董事是谁？,邵晓燕,江苏东尚住宅工业有限公司,董事,邵晓燕
江西煌盛房地产开发有限公司的信用评级？,暂无评级,江西煌盛房地产开发有限公司,信用评级,暂无评级
肖立红的年龄是？,31,肖立红,年龄,31
薛文俊的年龄多大？,45,薛文俊,年龄,45
张锁根的年龄是多少？,36,张锁根,年龄,36
中国银河证券股份有限公司的监事是？,古树林,中国银河证券股份有限公司,监事,古树林
上海鑫广科技发展集团有限公司的行业大类是什么？,寿险公司,上海鑫广科技发展集团有限公司,行业大类,寿险公司
蒲建平的年龄是？,24,蒲建平,年龄,24
谢卫的年龄？,22,谢卫,年龄,22
宁波亿兴企业管理有限责任公司的行业大类是什么？,寿险公司,宁波亿兴企业管理有限责任公司,行业大类,寿险公司
任开国的年龄？,42,任开国,年龄,42
奉新县发展投资集团有限公司的违规类型是？,无,奉新县发展投资集团有限公司,违规类型,无
许世坛的年龄是？,33,许世坛,年龄,33
南元（宁波）置业有限公司的信用评级是？,差,南元（宁波）置业有限公司,信用评级,差
华锐风电科技（集团）股份有限公司的担保？,江苏武进港务有限公司,华锐风电科技（集团）股份有限公司,担保,江苏武进港务有限公司
张海军的年龄多大？,24,张海军,年龄,24
中国石油化工股份有限公司的董事？,李毅中,中国石油化工股份有限公司,董事,李毅中
罗玫的年龄多大？,44,罗玫,年龄,44
南京孔雀城房地产开发有限公司的供应商是哪个公司？,抚州市投资发展（集团）有限公司,南京孔雀城房地产开发有限公司,供应商,抚州市投资发展（集团）有限公司
徐州中淮置业有限公司的收入是多少？,927165,徐州中淮置业有限公司,收入,927165
林州重机集团股份有限公司的监事是谁？,任育杰,林州重机集团股份有限公司,监事,任育杰
凯迪生态环境科技股份有限公司的董事？,王伟,凯迪生态环境科技股份有限公司,董事,王伟
四川省精华房地产开发有限公司的收益是多少？,5653607,四川省精华房地产开发有限公司,收益,5653607
江西长运股份有限公司的监事是？,肖晗,江西长运股份有限公司,监事,肖晗
中安科股份有限公司的董事？,李凯,中安科股份有限公司,董事,李凯
陕西蓝天御坊置业有限公司的债券类型是多少？,可交换债券,陕西蓝天御坊置业有限公司,债券类型,可交换债券
安通控股股份有限公司的董事是？,王经文,安通控股股份有限公司,董事,王经文
中国银河证券股份有限公司的分红方式是多少？,转增,中国银河证券股份有限公司,分红方式,转增
西安华新新能源股份有限公司的分红方式是什么？,不分配,西安华新新能源股份有限公司,分红方式,不分配
常熟招商琴湖投资发展有限公司的收入是多少？,2426371,常熟招商琴湖投资发展有限公司,收入,2426371
四川雅西高速公路有限责任公司的债券类型是？,券商专项资产管理,四川雅西高速公路有限责任公司,债券类型,券商专项资产管理
王金元的年龄是多少？,37,王金元,年龄,37
中安科股份有限公司的董事是谁？,项敏,中安科股份有限公司,董事,项敏
淄博来仪置业有限公司的担保是谁？,杭州夏宇房地产开发有限公司,淄博来仪置业有限公司,担保,杭州夏宇房地产开发有限公司
上海农口房地产（集团）有限公司的董事？,朱继根,上海农口房地产（集团）有限公司,董事,朱继根
正源控股股份有限公司的监事？,韩旭光,正源控股股份有限公司,监事,韩旭光
梁仲康的年龄是？,41,梁仲康,年龄,41
三友联众集团股份有限公司的供应商是哪家公司？,成都金堂发展投资有限公司,三友联众集团股份有限公司,供应商,成都金堂发展投资有限公司
中国第二十二冶金建设公司的违规类型？,未及时披露公司重大事件,中国第二十二冶金建设公司,违规类型,未及时披露公司重大事件
林文洪的年龄是？,23,林文洪,年龄,23
朱永明的年龄是多少？,45,朱永明,年龄,45
渤海租赁股份有限公司的董事是谁？,马春华,渤海租赁股份有限公司,董事,马春华
张神钢的年龄多大？,41,张神钢,年龄,41
固安孔雀洲房地产开发有限公司的分红方式是多少？,不分配,固安孔雀洲房地产开发有限公司,分红方式,不分配
银基烯碳新材料集团股份有限公司的董事是？,杨海滨,银基烯碳新材料集团股份有限公司,董事,杨海滨
泰山石膏（忻州）有限公司的收益是多少？,924750,泰山石膏（忻州）有限公司,收益,924750
哈尔滨工大高新技术产业开发股份有限公司的供应商是哪家公司？,杭州文化广播电视集团有限公司,哈尔滨工大高新技术产业开发股份有限公司,供应商,杭州文化广播电视集团有限公司
张来稳的年龄？,22,张来稳,年龄,22
康得新复合材料集团股份有限公司的董事？,钟玉,康得新复合材料集团股份有限公司,董事,钟玉
上海世茂股份有限公司的董事？,许世坛,上海世茂股份有限公司,董事,许世坛
凯博易控驱动（苏州）股份有限公司的债券类型？,可转换债券,凯博易控驱动（苏州）股份有限公司,债券类型,可转换债券
浙江湘旅控股集团有限公司的债券类型？,企业债,浙江湘旅控股集团有限公司,债券类型,企业债
重庆招商依云房地产有限公司的行业大类是啥？,其他,重庆招商依云房地产有限公司,行业大类,其他
华仪电气股份有限公司的违规类型是多少？,未及时披露公司重大事件,华仪电气股份有限公司,违规类型,未及时披露公司重大事件
济南金泉房地产开发有限公司的债券类型是？,保险公司债,济南金泉房地产开发有限公司,债券类型,保险公司债
眉山市东坡发展投资有限公司的分红方式是？,不分配,眉山市东坡发展投资有限公司,分红方式,不分配
苏州天然气管网有限公司的违规类型是啥？,无,苏州天然气管网有限公司,违规类型,无
李美军的年龄是？,28,李美军,年龄,28
王军的年龄是？,55,王军,年龄,55
北京凯英信业科技股份有限公司的监事是？,刘育君,北京凯英信业科技股份有限公司,监事,刘育君
江苏宏图高科技股份有限公司的董事？,巴晶,江苏宏图高科技股份有限公司,董事,巴晶
新大洲控股股份有限公司的监事？,李宗全,新大洲控股股份有限公司,监事,李宗全
安德武的年龄多大？,31,安德武,年龄,31
北京金一文化发展股份有限公司的监事是？,宋晶,北京金一文化发展股份有限公司,监事,宋晶
凯迪生态环境科技股份有限公司的董事？,江海,凯迪生态环境科技股份有限公司,董事,江海
永泰能源股份有限公司的董事是？,王军,永泰能源股份有限公司,董事,王军
甘肃刚泰控股（集团）股份有限公司的董事？,袁世杰,甘肃刚泰控股（集团）股份有限公司,董事,袁世杰
福州蓝盛置业有限公司的董事是？,桂学刚,福州蓝盛置业有限公司,董事,桂学刚
徐淑班的年龄多大？,53,徐淑班,年龄,53
雏鹰农牧集团股份有限公司的行业大类？,其他,雏鹰农牧集团股份有限公司,行业大类,其他
河北国傲投资有限公司的行业大类是多少？,寿险公司,河北国傲投资有限公司,行业大类,寿险公司
祁和生的年龄？,31,祁和生,年龄,31
杭州夏宇房地产开发有限公司的债券类型是多少？,可转换债券,杭州夏宇房地产开发有限公司,债券类型,可转换债券
北京嘉寓门窗幕墙股份有限公司的行业大类是多少？,其他,北京嘉寓门窗幕墙股份有限公司,行业大类,其他
安徽白兔湖动力股份有限公司的董事？,夏吉国,安徽白兔湖动力股份有限公司,董事,夏吉国
南京惠都企业管理有限公司的行业大类是？,证券公司,南京惠都企业管理有限公司,行业大类,证券公司
河北昊科房地产开发有限责任公司的监事？,师耀强,河北昊科房地产开发有限责任公司,监事,师耀强
顾忠长的年龄是多少？,20,顾忠长,年龄,20
石传省的年龄？,40,石传省,年龄,40
重庆钢铁股份有限公司的董事是谁？,周宏,重庆钢铁股份有限公司,董事,周宏
西安莱嘉置业有限公司的违规类型是啥？,未依法履行其他职责,西安莱嘉置业有限公司,违规类型,未依法履行其他职责
张海军的年龄是？,24,张海军,年龄,24
北京万邦达环保技术股份有限公司的信用评级是多少？,优,北京万邦达环保技术股份有限公司,信用评级,优
刘小峰的年龄是？,27,刘小峰,年龄,27
龙口市福尔生化科技有限公司的违规类型是什么？,未按时披露定期报告,龙口市福尔生化科技有限公司,违规类型,未按时披露定期报告
深圳市中装设计装饰工程有限公司的董事是谁？,王庆刚,深圳市中装设计装饰工程有限公司,董事,王庆刚
常州碧盛房地产开发有限公司的行业大类是什么？,其它,常州碧盛房地产开发有限公司,行业大类,其它
刘诚的年龄是多少？,43,刘诚,年龄,43
杭州滨泽投资管理有限公司的信用评级？,暂无评级,杭州滨泽投资管理有限公司,信用评级,暂无评级
天马轴承集团股份有限公司的监事是？,包淑红,天马轴承集团股份有限公司,监事,包淑红
张文学的年龄是多少？,54,张文学,年龄,54
甘肃刚泰控股（集团）股份有限公司的监事是谁？,吴印,甘肃刚泰控股（集团）股份有限公司,监事,吴印
成都招商北湖置地有限公司的信用评级是啥？,暂无评级,成都招商北湖置地有限公司,信用评级,暂无评级
赵子琪的年龄多大？,51,赵子琪,年龄,51
龙岩高岭土股份有限公司的客户？,上海农口房地产（集团）有限公司,龙岩高岭土股份有限公司,客户,上海农口房地产（集团）有限公司
姚飞的年龄是多少？,38,姚飞,年龄,38
中国人寿保险股份有限公司的董事？,莫博世,中国人寿保险股份有限公司,董事,莫博世
潮州华碧投资有限公司的违规类型是？,其它程序违规,潮州华碧投资有限公司,违规类型,其它程序违规
中安科股份有限公司的董事是谁？,于东,中安科股份有限公司,董事,于东
张齐生的年龄多大？,32,张齐生,年龄,32
北京乾远置业有限公司的行业大类是什么？,其他,北京乾远置业有限公司,行业大类,其他
协鑫集成科技股份有限公司的监事是谁？,周华英,协鑫集成科技股份有限公司,监事,周华英
陈帮奎的年龄多大？,31,陈帮奎,年龄,31
东莞勤上光电股份有限公司的监事是？,郭俊香,东莞勤上光电股份有限公司,监事,郭俊香
乐山国有资产投资运营（集团）有限公司的供应商是哪家公司？,河南蓝天新长燃气有限公司,乐山国有资产投资运营（集团）有限公司,供应商,河南蓝天新长燃气有限公司
涿州盛丰和华房地产开发有限公司的分红方式？,转增,涿州盛丰和华房地产开发有限公司,分红方式,转增
王琳的年龄多大？,67,王琳,年龄,67
郭芹的年龄多大？,41,郭芹,年龄,41
天马轴承集团股份有限公司的监事是谁？,郭松波,天马轴承集团股份有限公司,监事,郭松波
杭州浙达投资有限公司的违规类型是啥？,未按时披露定期报告,杭州浙达投资有限公司,违规类型,未按时披露定期报告
张大庆的年龄是多少？,68,张大庆,年龄,68
天马轴承集团股份有限公司的违规类型是？,未依法履行其他职责,天马轴承集团股份有限公司,违规类型,未依法履行其他职责
李荣的年龄多大？,68,李荣,年龄,68
东方金钰股份有限公司的监事是？,纵勇,东方金钰股份有限公司,监事,纵勇
马良杰的年龄是多少？,56,马良杰,年龄,56
福建正祥投资集团有限公司的客户是？,浙江德晨旅游开发有限公司,福建正祥投资集团有限公司,客户,浙江德晨旅游开发有限公司
王建利的年龄是？,31,王建利,年龄,31
江苏保千里视像科技集团股份有限公司的监事？,谢吉仙,江苏保千里视像科技集团股份有限公司,监事,谢吉仙
郭素强的年龄多大？,62,郭素强,年龄,62
杭州夏宇房地产开发有限公司的违规类型是？,无,杭州夏宇房地产开发有限公司,违规类型,无
河南志强置业有限公司的信用评级是？,优,河南志强置业有限公司,信用评级,优
重庆日报报业集团产业有限责任公司的信用评级是啥？,优,重庆日报报业集团产业有限责任公司,信用评级,优
顾伟国的年龄？,51,顾伟国,年龄,51
莆田联涵泰置业有限公司的行业大类是？,担保公司,莆田联涵泰置业有限公司,行业大类,担保公司
江苏保千里视像科技集团股份有限公司的监事？,陈国华,江苏保千里视像科技集团股份有限公司,监事,陈国华
济南金泉房地产开发有限公司的债券类型是什么？,保险公司债,济南金泉房地产开发有限公司,债券类型,保险公司债
黄建斌的年龄？,63,黄建斌,年龄,63
孔全顺的年龄是多少？,58,孔全顺,年龄,58
成都金堂发展投资有限公司的监事？,徐杨,成都金堂发展投资有限公司,监事,徐杨
西安华新新能源股份有限公司的债券类型是？,可转换债券,西安华新新能源股份有限公司,债券类型,可转换债券
成希的年龄是？,51,成希,年龄,51
伍守华的年龄多大？,69,伍守华,年龄,69
谭晋生的年龄是多少？,46,谭晋生,年龄,46
前海科创投控股有限公司的监事是？,成小云,前海科创投控股有限公司,监事,成小云
江苏国信股份有限公司的董事是谁？,许苏明,江苏国信股份有限公司,董事,许苏明
沭阳亚森同汇实业有限公司的违规类型是？,其它信息披露违规,沭阳亚森同汇实业有限公司,违规类型,其它信息披露违规
沈阳惠天热电股份有限公司的董事是谁？,李卓,沈阳惠天热电股份有限公司,董事,李卓
刘宏民的年龄？,49,刘宏民,年龄,49
深圳市怡亚通商贸有限公司的行业大类是啥？,寿险公司,深圳市怡亚通商贸有限公司,行业大类,寿险公司
枣庄百俊房地产开发有限公司的供应商是？,河南明源实业集团房地产开发有限公司,枣庄百俊房地产开发有限公司,供应商,河南明源实业集团房地产开发有限公司
赵衍新的年龄是多少？,32,赵衍新,年龄,32
北京首都开发股份有限公司的董事是谁？,王立川,北京首都开发股份有限公司,董事,王立川
石志民的年龄是？,38,石志民,年龄,38
重庆市清江实业（集团）有限公司的分红方式是啥？,送股,重庆市清江实业（集团）有限公司,分红方式,送股
太原星光城房地产开发有限公司的违规类型？,信息披露虚假或严重误导性陈述,太原星光城房地产开发有限公司,违规类型,信息披露虚假或严重误导性陈述
三友联众集团股份有限公司的行业大类是啥？,其它,三友联众集团股份有限公司,行业大类,其它
瑞茂通供应链管理股份有限公司的监事是谁？,宋建鹏,瑞茂通供应链管理股份有限公司,监事,宋建鹏
张建的年龄多大？,26,张建,年龄,26
北京凯文德信教育科技股份有限公司的信用评级是多少？,暂无评级,北京凯文德信教育科技股份有限公司,信用评级,暂无评级
张本明的年龄是多少？,66,张本明,年龄,66
梁崇英的年龄？,57,梁崇英,年龄,57
北京金一文化发展股份有限公司的董事是谁？,姜军,北京金一文化发展股份有限公司,董事,姜军
王琴的年龄多大？,67,王琴,年龄,67
杭州滨呈企业管理有限公司的行业大类是多少？,担保公司,杭州滨呈企业管理有限公司,行业大类,担保公司
谢志军的年龄？,67,谢志军,年龄,67
张金铸的年龄？,43,张金铸,年龄,43
王清文的年龄？,54,王清文,年龄,54
宁波中琨房地产有限责任公司的客户是谁？,新郑市裕泰轩房地产开发有限公司,宁波中琨房地产有限责任公司,客户,新郑市裕泰轩房地产开发有限公司
凯迪生态环境科技股份有限公司的行业大类是什么？,其他,凯迪生态环境科技股份有限公司,行业大类,其他
浙江诸暨东都房地产开发有限公司的收入是多少？,1711703,浙江诸暨东都房地产开发有限公司,收入,1711703
华昌达智能装备集团股份有限公司的监事是？,李军,华昌达智能装备集团股份有限公司,监事,李军
广州南菱汽车股份有限公司的违规类型是？,涉嫌违反证券法律法规,广州南菱汽车股份有限公司,违规类型,涉嫌违反证券法律法规
润念（上海）实业发展有限公司的行业大类是什么？,担保公司,润念（上海）实业发展有限公司,行业大类,担保公司
嘉善裕灿房地产开发有限公司的信用评级是多少？,暂无评级,嘉善裕灿房地产开发有限公司,信用评级,暂无评级
重庆钢铁股份有限公司的董事是谁？,李永祥,重庆钢铁股份有限公司,董事,李永祥
甘肃刚泰控股（集团）股份有限公司的董事是？,徐建德,甘肃刚泰控股（集团）股份有限公司,董事,徐建德
东方金钰股份有限公司的监事？,唐凡,东方金钰股份有限公司,监事,唐凡
重庆招商依云房地产有限公司的信用评级是？,暂无评级,重庆招商依云房地产有限公司,信用评级,暂无评级
博爱县投资集团有限公司的信用评级？,优,博爱县投资集团有限公司,信用评级,优
谢文杰的年龄？,30,谢文杰,年龄,30
故城县茂丰农业科技开发有限公司的行业大类是多少？,投资公司,故城县茂丰农业科技开发有限公司,行业大类,投资公司
中铁高新工业股份有限公司的监事？,刘恩国,中铁高新工业股份有限公司,监事,刘恩国
云南云维股份有限公司的董事是谁？,潘文平,云南云维股份有限公司,董事,潘文平
宜兴市兴陶资产管理有限公司的违规类型是什么？,信息披露虚假或严重误导性陈述,宜兴市兴陶资产管理有限公司,违规类型,信息披露虚假或严重误导性陈述
太原星光寰宇房地产开发有限公司的行业大类是啥？,其他,太原星光寰宇房地产开发有限公司,行业大类,其他
重庆市黔江区旅游投资开发有限公司的收入是多少？,9461095,重庆市黔江区旅游投资开发有限公司,收入,9461095
烟台锦辰房地产开发有限公司的分红方式是啥？,转增,烟台锦辰房地产开发有限公司,分红方式,转增
苏州铧福创盛置业有限公司的信用评级是多少？,差,苏州铧福创盛置业有限公司,信用评级,差
南京孔雀城房地产开发有限公司的违规类型是什么？,无,南京孔雀城房地产开发有限公司,违规类型,无
杭州燚乐实业投资有限公司的供应商是？,凯盛家纺股份有限公司,杭州燚乐实业投资有限公司,供应商,凯盛家纺股份有限公司
北京凯文德信教育科技股份有限公司的债券类型？,保险公司债,北京凯文德信教育科技股份有限公司,债券类型,保险公司债
南京锦凡置业有限公司的客户是？,青岛招商铭华置业有限公司,南京锦凡置业有限公司,客户,青岛招商铭华置业有限公司
李国的年龄多大？,49,李国,年龄,49
邦讯技术股份有限公司的监事？,万文定,邦讯技术股份有限公司,监事,万文定
凯迪生态环境科技股份有限公司的董事是谁？,徐尹生,凯迪生态环境科技股份有限公司,董事,徐尹生
四川雅西高速公路有限责任公司的担保是哪家公司？,上海中南金石企业管理有限公司,四川雅西高速公路有限责任公司,担保,上海中南金石企业管理有限公司
李钒的年龄是？,30,李钒,年龄,30
信阳荣阳房地产开发有限公司的违规类型是啥？,无,信阳荣阳房地产开发有限公司,违规类型,无
张顺福的年龄？,52,张顺福,年龄,52
江苏保千里视像科技集团股份有限公司的董事是谁？,周少强,江苏保千里视像科技集团股份有限公司,董事,周少强
那宝立的年龄是？,60,那宝立,年龄,60
深圳市飞马国际供应链股份有限公司的收益是多少？,3691215,深圳市飞马国际供应链股份有限公司,收益,3691215
隋国军的年龄多大？,65,隋国军,年龄,65
梁崇英的年龄是？,57,梁崇英,年龄,57
兴隆县荣恒房地产开发有限公司的行业大类？,金融控股集团,兴隆县荣恒房地产开发有限公司,行业大类,金融控股集团
广东名鳄实业有限公司的分红方式是？,送股,广东名鳄实业有限公司,分红方式,送股
孙跃凯的年龄多大？,63,孙跃凯,年龄,63
重庆瑞重快递有限公司的违规类型是多少？,无,重庆瑞重快递有限公司,违规类型,无
凯迪生态环境科技股份有限公司的董事是？,管自力,凯迪生态环境科技股份有限公司,董事,管自力
暴风集团股份有限公司的董事？,张震,暴风集团股份有限公司,董事,张震
深圳市怡亚通商贸有限公司的董事？,姚飞,深圳市怡亚通商贸有限公司,董事,姚飞
浙江元盛塑业股份有限公司的董事是？,王光明,浙江元盛塑业股份有限公司,董事,王光明
金华交投建筑工业化有限公司的分红方式是啥？,送股,金华交投建筑工业化有限公司,分红方式,送股
凯博易控驱动（苏州）股份有限公司的收益是多少？,2992139,凯博易控驱动（苏州）股份有限公司,收益,2992139
太原市龙城发展投资集团有限公司的违规类型是多少？,无,太原市龙城发展投资集团有限公司,违规类型,无
北京首都开发股份有限公司的监事？,梁桥,北京首都开发股份有限公司,监事,梁桥
徐州高铁置业有限公司的信用评级是什么？,差,徐州高铁置业有限公司,信用评级,差
故城县茂丰农业科技开发有限公司的董事是？,王文生,故城县茂丰农业科技开发有限公司,董事,王文生
临沂金丰公社农业服务有限公司的债券类型是啥？,短期融资券,临沂金丰公社农业服务有限公司,债券类型,短期融资券
金正大生态工程集团股份有限公司的董事是谁？,崔彬,金正大生态工程集团股份有限公司,董事,崔彬
刘纲的年龄是？,21,刘纲,年龄,21
欧阳辉的年龄多大？,65,欧阳辉,年龄,65
宜春市袁州区国投集团有限公司的债券类型？,短期融资券,宜春市袁州区国投集团有限公司,债券类型,短期融资券
何小丽的年龄多大？,69,何小丽,年龄,69
沧州荣朔房地产开发有限公司的分红方式是什么？,送股,沧州荣朔房地产开发有限公司,分红方式,送股
山西聚源煤化有限公司的行业大类是啥？,证券公司,山西聚源煤化有限公司,行业大类,证券公司
江西煌盛房地产开发有限公司的收入是多少？,9899597,江西煌盛房地产开发有限公司,收入,9899597
北京万邦达环保技术股份有限公司的信用评级是啥？,优,北京万邦达环保技术股份有限公司,信用评级,优
宁波梅西滚装码头有限公司的信用评级是什么？,差,宁波梅西滚装码头有限公司,信用评级,差
银基烯碳新材料集团股份有限公司的董事是谁？,张小猛,银基烯碳新材料集团股份有限公司,董事,张小猛
北讯集团股份有限公司的董事？,苏永琴,北讯集团股份有限公司,董事,苏永琴
窦辉的年龄是多少？,54,窦辉,年龄,54
傅加林的年龄是多少？,61,傅加林,年龄,61
夏凯旋的年龄是多少？,68,夏凯旋,年龄,68
信阳辰盛置业发展有限公司的收入是多少？,732616,信阳辰盛置业发展有限公司,收入,732616
黄欣的年龄？,61,黄欣,年龄,61
杨绍兴的年龄多大？,51,杨绍兴,年龄,51
苏州天然气管网有限公司的担保？,江苏朱方置业股份有限公司,苏州天然气管网有限公司,担保,江苏朱方置业股份有限公司
广州粤泰集团股份有限公司的董事？,戴兴华,广州粤泰集团股份有限公司,董事,戴兴华
四川交投地产有限公司的违规类型是？,业绩预测结果不准确或不及时,四川交投地产有限公司,违规类型,业绩预测结果不准确或不及时
河北诚信有限责任公司的违规类型是？,未依法履行其他职责,河北诚信有限责任公司,违规类型,未依法履行其他职责
韩宝利的年龄多大？,48,韩宝利,年龄,48
中国银河证券股份有限公司的董事？,李鸣,中国银河证券股份有限公司,董事,李鸣
无锡百年通工业输送有限公司的监事是？,吴志攀,无锡百年通工业输送有限公司,监事,吴志攀
西安紫薇投资发展有限公司的分红方式是多少？,不分配,西安紫薇投资发展有限公司,分红方式,不分配
东风汽车股份有限公司的董事是？,丁绍斌,东风汽车股份有限公司,董事,丁绍斌
彭雪峰的年龄？,65,彭雪峰,年龄,65
黄一武的年龄多大？,27,黄一武,年龄,27
深圳康悦实业有限公司的违规类型？,未按时披露定期报告,深圳康悦实业有限公司,违规类型,未按时披露定期报告
谷大可的年龄是？,65,谷大可,年龄,65
天马轴承集团股份有限公司的董事是？,张铭,天马轴承集团股份有限公司,董事,张铭
河北古城香业集团股份有限公司的违规类型是？,未及时披露公司重大事件,河北古城香业集团股份有限公司,违规类型,未及时披露公司重大事件
汕头市粮丰集团有限公司的供应商是？,四川交投地产有限公司,汕头市粮丰集团有限公司,供应商,四川交投地产有限公司
贵州森瑞管业有限公司的客户是谁？,江西省百乐米业股份有限公司,贵州森瑞管业有限公司,客户,江西省百乐米业股份有限公司
孙敦圣的年龄？,38,孙敦圣,年龄,38
上海融御置地有限公司的分红方式是什么？,现金分红,上海融御置地有限公司,分红方式,现金分红
重庆北麓置业有限公司的违规类型是啥？,无,重庆北麓置业有限公司,违规类型,无
蔡伟的年龄？,36,蔡伟,年龄,36
重庆瑞重快递有限公司的供应商？,常熟招商琴湖投资发展有限公司,重庆瑞重快递有限公司,供应商,常熟招商琴湖投资发展有限公司
项城市国有资产控股管理集团有限公司的债券类型是？,证券公司次级债,项城市国有资产控股管理集团有限公司,债券类型,证券公司次级债
杭州浙达投资有限公司的违规类型是什么？,未按时披露定期报告,杭州浙达投资有限公司,违规类型,未按时披露定期报告
徐州中淮置业有限公司的信用评级是啥？,优,徐州中淮置业有限公司,信用评级,优
王龙的年龄是多少？,39,王龙,年龄,39
田西平的年龄？,31,田西平,年龄,31
张家口荣光房地产开发有限公司的行业大类？,其他,张家口荣光房地产开发有限公司,行业大类,其他
吴长顺的年龄？,67,吴长顺,年龄,67
浙江亚厦装饰股份有限公司的董事是？,邵晓燕,浙江亚厦装饰股份有限公司,董事,邵晓燕
北讯集团股份有限公司的信用评级是什么？,差,北讯集团股份有限公司,信用评级,差
管学昌的年龄？,38,管学昌,年龄,38
邵立岩的年龄？,48,邵立岩,年龄,48
北京金一文化发展股份有限公司的董事是谁？,黄翠娥,北京金一文化发展股份有限公司,董事,黄翠娥
广州市保曦置业有限公司的供应商是谁？,杭州贵宇投资管理有限公司,广州市保曦置业有限公司,供应商,杭州贵宇投资管理有限公司
江西华尔盛科贸有限公司的债券类型？,券商专项资产管理,江西华尔盛科贸有限公司,债券类型,券商专项资产管理
北京首都开发股份有限公司的董事是谁？,杨文侃,北京首都开发股份有限公司,董事,杨文侃
北京凯文德信教育科技股份有限公司的董事是？,任戴明,北京凯文德信教育科技股份有限公司,董事,任戴明
濮阳开州投资集团有限公司的供应商？,杭州滨泰投资管理有限公司,濮阳开州投资集团有限公司,供应商,杭州滨泰投资管理有限公司
徐建刚的年龄是？,28,徐建刚,年龄,28
杭州震大投资有限公司的收益是多少？,6502088,杭州震大投资有限公司,收益,6502088
中成新星油田工程技术服务股份有限公司的董事？,刘健,中成新星油田工程技术服务股份有限公司,董事,刘健
倪洪菊的年龄是？,35,倪洪菊,年龄,35
山东经云资产管理有限公司的行业大类是什么？,证券公司,山东经云资产管理有限公司,行业大类,证券公司
三友联众集团股份有限公司的违规类型是啥？,涉嫌违反证券法律法规,三友联众集团股份有限公司,违规类型,涉嫌违反证券法律法规
青岛信保双盈置业有限公司的债券类型？,短期融资券,青岛信保双盈置业有限公司,债券类型,短期融资券
陆建荣的年龄？,51,陆建荣,年龄,51
成都工投园区建设投资有限公司的违规类型？,未按时披露定期报告,成都工投园区建设投资有限公司,违规类型,未按时披露定期报告
石家庄荣真房地产开发有限公司的信用评级是啥？,优,石家庄荣真房地产开发有限公司,信用评级,优
陈华京的年龄多大？,60,陈华京,年龄,60
中南红文化集团股份有限公司的董事是？,王新立,中南红文化集团股份有限公司,董事,王新立
江苏东尚住宅工业有限公司的信用评级是什么？,差,江苏东尚住宅工业有限公司,信用评级,差
暴风集团股份有限公司的信用评级是？,差,暴风集团股份有限公司,信用评级,差
华昌达智能装备集团股份有限公司的收益是多少？,6061318,华昌达智能装备集团股份有限公司,收益,6061318
揭阳市和越实业有限公司的供应商是哪个公司？,秦皇岛兴龙房地产集团有限公司,揭阳市和越实业有限公司,供应商,秦皇岛兴龙房地产集团有限公司
南昌城铉房地产开发有限公司的债券类型是？,定向工具,南昌城铉房地产开发有限公司,债券类型,定向工具
宁波兴光煤气集团公司的监事是？,郑路明,宁波兴光煤气集团公司,监事,郑路明
汪纯夫的年龄？,46,汪纯夫,年龄,46
山西荣太房地产开发有限公司的担保？,江苏长博集团有限公司,山西荣太房地产开发有限公司,担保,江苏长博集团有限公司
哈尔滨工大高新技术产业开发股份有限公司的供应商是哪个公司？,杭州文化广播电视集团有限公司,哈尔滨工大高新技术产业开发股份有限公司,供应商,杭州文化广播电视集团有限公司
河北诚信有限责任公司的收入是多少？,9827602,河北诚信有限责任公司,收入,9827602
沈阳机床股份有限公司的董事？,刘海洁,沈阳机床股份有限公司,董事,刘海洁
南京丰泰产业园管理有限公司的债券类型是啥？,企业债,南京丰泰产业园管理有限公司,债券类型,企业债
邰静的年龄是？,68,邰静,年龄,68
浙江玉环华电风力发电有限公司的收入是多少？,610526,浙江玉环华电风力发电有限公司,收入,610526
牛治中的年龄多大？,67,牛治中,年龄,67
上海复皓实业发展有限公司的行业大类是啥？,证券公司,上海复皓实业发展有限公司,行业大类,证券公司
广州西门子变压器有限公司的违规类型是？,无,广州西门子变压器有限公司,违规类型,无
李志平的年龄？,22,李志平,年龄,22
山西漳泽电力股份有限公司的董事？,郭秋平,山西漳泽电力股份有限公司,董事,郭秋平
正源控股股份有限公司的供应商？,凯盛家纺股份有限公司,正源控股股份有限公司,供应商,凯盛家纺股份有限公司
